COMPANY;GAME;COMMENTARY TITLE;COMMENTARY;RATE;DATE;GENERAL OPINION ABOUT THE COMMENTARY
Ubisoft;Tom Clancy's Rainbow Six Siege;Simple, but Great and Highly Re-Playable;In just one sentence: Rainbow Six: Siege is a great shooter that is a lot of fun to play.There isn't really much of a story. There are terrorists and different CTUs from around the world need to stop them. So, don't go in expecting a story. As there really isn't one.The graphics for the game are quite good and passable for a late 2015 game. The weapons look sleek and well designed. The sounds they make are incredible.The gameplay is where Siege shines. Simple, but intense, every moment mattering games that change every round. Each round, a group of attackers seek out the defenders and try to eliminate them. The defenders have time to prepare by setting up reinforced walls, dropping body armor for your teammates, and placing trip mines. Every second that goes by matters, and any second something can happen. Ranging from a drone entering a room to mark players, to a wall exploding, to a flash bang going off and blinding everyone, to a bullet coming through a window and killing your teammate. This is before getting into how important sound is. Listening to your surroundings can save your life and help you achieve victory.If you are looking for a shooter that will keep you playing for weeks and even months, Rainbow Six: Siege is the game for you!;10/10;14 May 2016;3 out of 5 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;A bare bones SWAT with great mechanics;I don't mind the exclusion of a campaign, even if these are what the series is known for, but it is still unfortunate due to the quality of the sole such co-op mission after the string of alibi tutorials. The sequel will certainly have one and this sub-series should be renamed to S.W.A.T. due to the similar nature of this game to that dead franchise. The multiplayer mode is pretty fascinating and the unique gameplay is rock solid but the lack of content and customization is noticeable. The game thus feels somewhat uncompleted for a full price game yet i will come back for the sequel and will stick around longer if it will feature more content. 7,5/10;7/10;15 April 2016;2 out of 7 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Ending the journey that started with Velvet Shell;When I first played Siege, I admired the Ubisoft's take on modern tactical combat, which was like the SWAT games, it was also one of the best perks of Siege. Unfortunately, as the game progresses, two major problems have been already slowly growing. Community and money.When Ubisoft went to the sci-fi world and added futuristic gadgets and powers for the operators, it was a matter of time when the game would lose its perk of great realistic tactical combat and turn into another new Black Ops game. With constant map changes and new flashy skins, I couldn't recognize the Siege I was playing. You don't need to regularly release new maps and ops, just work on the ops you already have and optimize the gameplay towards balance. Releasing new stuff won't fix the problems.Community has gotten bigger and surely it brought new ways to make the game more unenjoyable. Cheaters are roaming through the servers without instant consequences, it takes days and months to finally ban them but that would be already too late for the damages they caused. Intentional teamkill is still not fixed properly and it's even worse when you meet a bad group of teammates.A company hungry for money but not happiness of players. They would rather release new 50 sets of cosmetic items than fixing a single problem.;4/10;26 August 2021;5 out of 6 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Freaking Amazing!!!!;I love this game. This has my favorite characters in it. I love the gameplay and how the game works.;10/10;20 June 2019;2 out of 3 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Don't listen to the hate look at my review got something to say;If you play it then don't play competive but just random then it is worth every cent don't listen to the hate this game is a masterpiece it's my favorite game after rdr2.;10/10;2 April 2021;2 out of 3 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Perfect long living game;Great job Ubisoft.Easy Gameplay to get used to with perfect controls. The modes are few, but still, it is so amusing.Diverse Operators. Not everyone has unique abilities, but they are still pretty well.I didn't want the game to involve LGBT Operators it was really unnecessary.One of the best games I've played in this generation of games. This game never gets old. 10/10 excellent.;10/10;11 June 2021;1 out of 1 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Very addictive;I love this game, it's a fantastic online game with so many operators and weapons to choose from, it's definitely one of the best online tactical multiplayer games ever made. My only downfall to this game is the online servers, my connection is very good to play this game but it always disconnects me to play it and I have to keep restarting the game to get it connected. If the servers where a bit better I would have definitely have given this game a 10/10, but besides the server issue I still think it's an amazing game I would recommend people to try it out.;6/10;12 August 2021;0 out of 0 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Great but coulda been perfect;Back in the day this around I'd say season 1-12 this game was a 9.7/10 but with all the new updates and toxic community the game got worse and worse every season sadly. Though, this game is a great fps shooter, personally my favorite of all time, they have good dlcs, great characters which you can choose from like 60 of them maybe even more. Lastly, But after the seasons kept going the gameplay went down because the recent updates that jus aren't good and no where near as good as the first 4 seasons.I think rainbow six siege should make a remastered version of the old rainbow six siege do y'all agree ?;8/10;11 June 2023;1 out of 1 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;Unlimited Potential, Limited Developers.;Rainbow Six: Siege is a first person shooter unlike any other. With gunplay that is innovative, responsive, tactical, and most importantly, unique. Siege offers gameplay on quite literally every dimension, from the floorboards to the skylight on top of a bank. Everything in this game is able to be modified by the player. Cosmetics are slightly limited to a paywall, yet you can still customize each operator to your personal liking over time. Every attachment changes how each gun feels, and it almost never gets boring using the same gun. Speaking of never getting boring, each kill feels satisfying, as if you look the other player in the eye and assert that you are the better player on each kill. Nothing in Rainbow Six: Siege gets stale, and the 5 on 5 bomb defusing style has never been adapted better. Siege is a clear sign of innovation in a genre that had seemingly been ran dry.;7/10;12 April 2024;0 out of 0 found this helpful.
Ubisoft;Tom Clancy's Rainbow Six Siege;rat shooter;Unfortunately the game will die, because the developers themselves do not play it, but only introduce lgbt lesbians and gay operatives without playing the game itself.;1/10;25 August 2021;5 out of 7 found this helpful.
Ubisoft;Far Cry 5;Sometimes Ubisoft Nails It.;This game is great and all, but why the heck is Jared Leto trying to kill me?;8/10;7 October 2019;48 out of 49 found this helpful.
Ubisoft;Far Cry 5;Amazing Villain;An amazing game with various mechanics,a good progression system and amazing story with well written villains especially Joseph Seed. With beautiful graphics and its first person Open World it really immerses you in the gameplay.;9/10;12 October 2021;16 out of 16 found this helpful.
Ubisoft;Far Cry 5;Tons of Choas and an Interesting Characters Trade Off for a Thin Plot and a Disappointing Ending;The concept of Far Cry 5 was the primary reason I picked up Far Cry 5 but a friend of mine recommended highly as well. I wasn't familiar with the Far Cry series but having played Far Cry 5, I loved the open world mechanics of it. I think it stacks up to the best in the genre (Rockstar's titles, Ubisoft's other franchises etc.). There's a chaotic nature to it that's a lot fun and there's always something going on. This is true of other open-world games, but I also loved the setting. Setting it in Montana, the lush forests and American Midwest setting offer a lot of unique wildlife and creative environments to travel through. It added to a different feel than other sandbox games I've played.The plot of Far Cry 5 is best looked at one of two ways. The plot has a good setup, you're trying to dismantle the cult piece by piece (even if you have to ignore the plot hole that your character should be high-tailing it out of the state for help the first chance he/she gets) and take care of the villainous Joseph Seed and his lieutenants John, Jacob and Faith. You get the choice of which area to go to (its divided into 5 areas, each of the lieutenants controls a portion of the map then Dutch's island and the actual compound for Eden's Gate cult) and the game plays out in the same way no matter where you go. Other than taking these people out and saving your friends, there is no progression until you hit the ending conflict. This is too bad, but I think the game compensates by giving you interesting friends (my favourites being Cheesburger the bear, Peaches the cougar and Boomer the dog) and interesting villains. John, Jacob and Faith are all vile in different ways but they all suffered from various forms of abuse and Joseph preyed on that to indoctrinate them into his twisted way of thinking. You fight them, but I did find that I could either relate to them or sympathize with them even if it was just for fleeting moments. Joseph is a monster, but he was formed to be that as opposed to just being born that way. This is a trade off, but it was more than enough to keep me going.The reactions to Far Cry 5 have been mixed and while some of that can be chalked up to the "politically" charged nature of it, I have to agree that the criticism of the ending is valid. The game offers 2 endings depending on a final choice (there's also a hidden ending that you can get at the beginning) and I picked the "true" ending. They leave you some bread crumbs to hint at it if you're listening to the radio, but I found it to be such a shock. I thought about it for a while and I do like the dark nature of it, but it doesn't seem to fit the rest of the game. It nullifies most of the story and while it didn't wreck the total experience, I didn't enjoy it and I agree with the negative reviews on this point. My final reaction was: "Did they really think this was the best way to end it?"This is one of those games that comes down to a simple calculation for me. The pros outweigh the cons by a decent margin, even if it wasn't everything I wanted it to be. As someone who hadn't played any of the previous Far Cry games, this was fairly easy to pick up, it played in a different environment and gave me interesting friends and foes to bounce off of. The variation in the missions helped keep things fresh and I liked how I could do anything I wanted at any time. The trade off for the characters is that there isn't much progression in the plot and while I thought the ending is unique and very dark, it didn't work for me and I felt like I got sucker punched by it. I would still recommend this game, I'm going to be playing it again and while it wasn't the whole package, I'd grade it at around an 8.5/10. I'm rounding down because of the sour note it ended on.;8/10;30 May 2018;17 out of 22 found this helpful.
Ubisoft;Far Cry 5;Wow;I'm still playing the campaign, but so far this game is breathtaking. The darkest Far Cry out of all of them. It's very disturbing and it will give chills by the opening introduction. This game is a winner.;9/10;28 March 2018;30 out of 50 found this helpful.
Ubisoft;Far Cry 5;Yep;Five years down the road , and it's still a very good and fun game to play.I had my doubts at first, but with gamepass on the XboxX we all can play this nice game .Graphics hold up very well, after 5 years in the market it still looks very nice.Voices are pretty good, some funny comments as well.Characters are great, water looks like water, nice done.Big open world with a lot of things do, secret doors, hidden chests etc I like it.What wasn't that good is the Ai, sometimes the enemies run by or don't know what to do.Also a few bugs, at some point I couldn't open the door, you have to do it all over again at the last savepoint.But overall a great game, worth your time and money.;8/10;5 May 2023;3 out of 3 found this helpful.
Ubisoft;Far Cry 5;Epic!;This is a great, deep and dark story with awesome voice acting! The Father character is ingeniously created. Just follow the campaign thru and thru or do some sidesteps here'n'there, either way you're in for a treat! Highly recommended! Love it!;10/10;7 April 2018;20 out of 36 found this helpful.
Ubisoft;Far Cry 5;Great game but if you are religious I strongly suggest avoiding it;Yes if you do happen to be religious this game may hit a little too close to home or even offend you but boy I gotta say I'm having so much fun with it, I may be playing as someone who's going on a full blown rampage but that just adds to the thrill, the action is the best part and if you do happen to like open-world games or first person shooters I highly recommend checking this one out. A rather disturbing story behind it too and funny enough this has better graphics than 6 but I have a feeling that 6 was meant to look more arcadey compared to this. Nonetheless the Far Cry games are great, this one though has to be my personal favorite.;10/10;12 September 2022;4 out of 5 found this helpful.
Ubisoft;Far Cry 5;By the dawn's early light.;'Far Cry 5 (2018)' marks the first time that a game in the series has been set in the USA. As such, it has come under fire for its politics. However, the game isn't saying anything particularly controversial. whatever political musings there may be, they're entirely perfunctory. The story puts you in the shoes of a rookie police officer tasked with bringing in the leader of a notorious local cult. When all hell breaks loose, you must rally your allies and, essentially, enforce a form of home-grown martial law to bring things back to the way they used to be. The narrative is delivered in a less straightforward way this time around, with the majority of the game taking place within three distinct districts that can be played in any order. The occasional cut-scene will move things along without you having any input, but for the most part you are in control of the story's progression. This incidental kind of vibe is appropriate for the game-loop, as it allows you to undertake your own mini adventures while you progress towards the greater overall goal. That goal is, as usual, to reclaim the map. This time, though, there are no towers to climb. Instead, the world simply reveals itself as you move through it, meeting all manner of quirky character and delirious foe as you go. The map is chock full of content, most of which is driven by specific characters and, therefore, feels more important than the busywork it actually is. The 'buddy' system does a great job of making you feel like you're really having an impact. when you save certain people, they become available as AI co-op partners. Though the thing has a good sense of progression, the actual plot is segmented and ultimately unfulfilling - thanks, in no small part, to a cheap, supposedly 'clever' rug-pull of an ending. The sections which remove your control are clearly the worst parts of the entire affair, feeling frustrating and jarring, to boot. It takes a while to for the game to get into its own groove, but once it does it's an entertaining time. It feels like a slight step down for the franchise, but it's an enjoyable open-world experience nevertheless. 7/10;7/10;27 March 2020;4 out of 4 found this helpful.
Ubisoft;Far Cry 5;Great gameplay, awful story.;The game is a blast to play. Exploring the wilderness and taking outposts with your followers is insane fun. You can have a pilot bomb your enemies from above, a sniper take them out from a nice vantage point, or have them all slapped to death by a diabetic grizzly. The worst part of the game is the story and having to listen to any of the main characters talk about their "deep dark philosophical principal" The ending is absolute trash writing.;7/10;7 May 2018;32 out of 50 found this helpful.
Ubisoft;Far Cry 5;Amazing story with beautiful gameplay;Has a compelling story that keeps you sucked into the game from the jaw dropping start to the insane ending. Would definitely recommend for a returning Far Cry player and new players to the series.;9/10;5 April 2018;15 out of 28 found this helpful.
Ubisoft;Far Cry 5;Cutscene Incompetence;Let me introduce you to the plot device cutscene incompetence.The Protagonist is amazing. They can defeat hordes of monsters, perform feats of superhuman strength, solve complex puzzles no one else can, answer the most baffling riddles, and is always just in time for the action... that is, as long as they are being controlled by the player.Once a cutscene starts, or the player otherwise loses even the tiniest bit of control over their character, however, things tend to go south quick.That is Farcry 5 in a nutshell. Need to move the story on? Cue the mind control music into cutscene! Walking into a church to confront a big enemy? Cutscene and you're knocked out! Played for a few hours and enjoying yourself? Bliss cutscene!It's bad storytelling. You don't need to be forced into capture each time you want to progress the story with the main bad guys of the game. Such a bad trope, IN MY 2018? It's happening more than you would like to admit.Like all next-gen Farcry games, the best story ending is to stay still at the start of the game and let the credits roll.;6/10;14 October 2018;26 out of 44 found this helpful.
