;COMPANY;GAME;COMMENTARY TITLE;COMMENTARY;RATE;DATE;GENERAL OPINION ABOUT THE COMMENTARY
10;Unity Technologies;Cuphead;Full of Nostalgia and Beauty, Cuphead is a Unique Title That's EVEN MORE DIFFICULT Than You've Heard;"Seeing the first trailer for Cuphead, I immediately swooned. The marriage between that animation and a videogame was something that seemed impossible. It was a big moment of ""how did no one think of this before?"" With it being an Xbox release and not having the confidence to try and play this on PC, it seemed like I wouldn't get the chance to ever give Cuphead a shot. The PS4 edition was a big surprise and despite the warnings, I picked it up and battled my way through. Was it worth the wait? I think it depends on the type of gamer you are. I'll be covering the pros and cons below.Visually and acoustically, Cuphead absolutely lives up to hype. This game is so unlike any other big release on the market. Not only is it unique but its got all the polish and there's little out of place. The animation is exciting and well designed throughout. Cuphead feels authentic to the cartoons of yesteryear its paying tribute to and if I hadn't watched so much material on it ahead of time, this game would have floored me. I also really enjoyed the music and all of the work with the sound. The score is very orchestral but there's jazz influence and each fight brings some new catchy beat that's going to have your toes tapping while you're screaming at your TV or computer monitor. I also want to credit the gameplay (I'm going to talk about the difficulty later) for also having a different flavour. The game is mostly boss fights with a few platforming levels sprinkled in and I think there was a considerable effort into making each one memorable. Is every level equally stunning or fun? Absolutely not but I remember each fight and something that made that one different.Part of the aura surrounding Cuphead is the reports of how difficult it is. Go on the internet, there are many videos of let's play gamers screaming, crying and yelling. I thought it couldn't be that bad.... Could it? I was full of hubris to think I could do better. This game is RIDICULOUSLY HARD, I spent hours trying to beat each boss. Not just 20-30 minutes, 2-3 HOURS at a time for the more difficult ones. There is so little margin for error and no breaks when playing Cuphead. Reviewers reassured gamers that the feeling when beating a boss made up for all the anguish, it wasn't that way for me. I became so desensitized to failing that after I beat one, I sighed and moved on to the next. Kahl's Robot took 3 different sessions just for me to beat it and the Run & Gun levels weren't any easier. The difficulty isn't fun and it goes beyond any normal expectations for a ""difficult"" experience. Between the time invested, the frustration, the repetition and the anguish, I was miserable most of the time I was playing this game.This is one of my shorter reviews and that's reflective of the kind of experience I had with this game. Was there plenty of stuff I loved? Definitely, it's an ambitious product with style to burn that both critics and more tolerant gamers have showered with adoration. But I didn't truly enjoy any moment playing this game past the opening credits/prologue. I respect this game and its creators. they should be praised. But I will never play this game again, its too difficult to recommend and it wasn't worth the time I invested in it to beat it. I'm not trying to whine or go on about my experience, if you look at the stats, they reaffirm my take. On average 10 PERCENT of people who played this game actually finished it. That statistic tells the story of how TRULY accessible this game is and if you loved this game when you finished it, I tip my hat to you. I've rated it based upon both the pros and cons and arrived in the middle. Don't be like me and just assume you're just going to fly through this game. Buy it if you're interested in a REAL CHALLENGE, if you're more of a casual gamer, watch a let's play and have a few laughs instead.";7/10;13 November 2020;7 out of 8 found this helpful.
11;Unity Technologies;Cuphead;Favorite game of all time;Cuphead has both spectacular graphics and amazing music. The gameplay of all the different and unique bosses are extremely entertaining. Beating one feels like climbing a mountain. Highly recommend trying to find all the secrets of the world especially the 4th barber shop singer. Even if you don't normally like games of this genre I still would recommend you try it.;Not Informed;24 June 2019;3 out of 5 found this helpful.
12;Unity Technologies;Cuphead;Eh;This game is good. The only thing I am not a fan of is how hard some of the bosses are. Everything else is great. The art style, most of the bosses, and the storyline.;9/10;31 May 2020;1 out of 5 found this helpful.
13;Unity Technologies;Cuphead;The Most Hardest Video Game;I'm not gonna lie, this is probably the most challenging, the most hardest, the most difficult game I have played. But you know what, it was actually all worth the entirety of it. Cuphead is a magnificent game that takes the challenging gaming to a whole new level. It has given an excellent tribute with an engaging story that develops Cuphead's journey and top notch graphics that's faithful to the classic cartoons. But in order to make this into a cartoon game, make the gameplay intense, exciting and difficult to give time for the players that would unexpected what would happen on each level and on each bosses. If you are a fan of cartoons and even of video games, or if you want to try a challenging game, I absolutely recommend this game. As much strategy we would use to beat this game, the more of how excellent it will get. Not only would I consider my favorite hard game, but also one of the best indie games I've played. The past decade has been big for indie games, and this is no exception.;10/10;30 July 2022;0 out of 0 found this helpful.
14;Unity Technologies;Cuphead;There's only one thing that brings Cuphead down;After the success of Arcanum, it's starting to show that series based on games can be good, and this is no exception. Cuphead, apart from a few minor things, does everything right. The animation is absolutely superb. Hats off to you. The music is also great, and the intro is especially good. The main duo Cuphead and Mugman are absolutely iconic and their characters are, in my opinion, really great for an animated film. The plot with the devil is also a luxury. It all works so wonderfully and actually the only thing that spoils it for me is the filler episodes. I mean the episodes that don't move the main plot anywhere and are just such a bonus. Granted there were only a few of them and they're mainly around fifteen minutes long so you get them right away and they weren't downright bad either, but they were still more of a nuisance than a benefit in my eyes. I can understand the writers' intention to make the series a bit longer, since each episode is already short and there are only 12 of them. It's a shame though, because it brings the series down unnecessarily. Otherwise, I have nothing to complain about and for me this is a great series that I liked right after the first episode and it became my favourite as far as game adaptations go. I like cartoons in general, so no wonder. For me, a great series that I recommend to fans of the game, but also fans of animated series in general.;8/10;19 February 2022;0 out of 0 found this helpful.
15;Unity Technologies;Cuphead;3.5 Stars out of 5 Stars;Oh what do ya know? IMDb apparently has video games in their database. Looks like I've got a lot of reviewing to do. With this game being my first video game review, I think it deserves the honor. The hand-drawn animation style is truly the selling point of this game to me, but the difficulty to each level and amount of raging there is to this game is probably not healthy, but oh so rewarding. The last isle you have to defeat (including the casino) was probably some of the hardest 2D animated video game levels I've ever played. If you got a friend and wanna couch coop, check this game out if you like a good challenge, but be prepared to hate everything in pursuit of completing the game.;7/10;8 June 2021;3 out of 6 found this helpful.
16;Unity Technologies;Cuphead;All in the animations and the ambience;I enjoyed the tv show even if its pretty childish. The story is too short and too much simple. No complexity at all and feel really for kids or teenagers. But the animations are very nice and pleasant to watch.;7/10;24 March 2022;0 out of 4 found this helpful.
17;Unity Technologies;Cuphead;Incredibly Difficult, Tedious, and practically unbeatable;Cuphead is a cool game. But the stages are so fricking hard and tedious that I got rid of it around six months ago. I only played on weekends so the game was practically unbeatable for me.;Not Informed;4 November 2019;2 out of 10 found this helpful.
18;Unity Technologies;Hearthstone;DOnt buy packs on mass;The game is funner when you have to put in the time to build your collection. I wouldnt recomend buying the big expansion packs. Maybe just buy a bundle to get yourself started.If you like strategy card games youll like this one too as I do.;10/10;27 August 2021;3 out of 3 found this helpful.
19;Unity Technologies;Hearthstone;R&G Sh@t;All rng based games are bad because it's all about luck and no skill but hearthstone is quite possibly the worst rng based game I've ever played. It is so boring and luck based that even when I do well I just find the game boring and stupid. Bye bye now.;1/10;2 September 2020;3 out of 4 found this helpful.
20;Unity Technologies;Hearthstone;Imbalanced game with no care for user experience;"This game was fun and interactive when it came out, however, expansions totally killed its magic. Developers decided to add imbalanced cards and use them to force players into playing expansion-specific deck archetypes. Any element of fun just got lost. The game is no more decided by skillful play and careful consideration of opponents deck, but merely by draw luck, as cards and their specific combinations are so strong that one card drawn card can basically kill an opponent on its own. The game of course not only doesn't offer any counter-action for the most powerful cards, but the developers even went out of their way to ban them (the cards which had the potential to counter some of the most powerful cards) from the game.It doesn't pay off to create a unique deck and surprise opponents with non-standard cards, because the difference in cards' power-level dictates what cards can you play to be successful.In other words: I really enjoyed the game up to the expansion Journey to Un'Goro, but afterward, it became an unfocused mess. In my opinion, it's not worth getting into at this point.""Battlegrounds"" is a fun mode, but super luck dependent and the Arena suffers from the same issues as competitive: snowball effect can kill you without having a chance to react.Update: problems of luck and hyper-powerful cards are increasing every expansion. Your skill and experience don't matter in the slightest. Encountering 12/12 on the third turn against the druid, losing to single cards, opponents generating basically an infinite amount of cards from thin air, and insanely powerful cards which cost 0 mana (meaning there is no limit how many of them you can play during your turn) absolutely soured my experience with Hearthstone. Trash. Not worth the time investment.";Not Informed;14 November 2021;1 out of 1 found this helpful.
21;Unity Technologies;Pokemon Go;A good game;It is a great game, it isn't boring, they took a while to make the game fun, disadvantage is sometimes it isn't easy to leave a Pokémon in a gym;8/10;18 November 2018;6 out of 7 found this helpful.
22;Unity Technologies;Pokemon Go;Pay to win;The game was fun at first. People were looking for pokémon all over the world. Mountains, lakes, cities, forests. It didn't matter where you were, a pokémon was there. Slowly in time the game got added new generations of pokémons, and even mega evolutions. That sounds cool you might think, but what you don't realize is that niantic became greedy and the game slowly shifted towards the pay to win. I remenber leaving the game because this was unfair. What once was incredible became corrupted and the shell of it's former self. Regardless of what you think about the game, you will agree that pay to win sucks.;7/10;25 November 2022;0 out of 0 found this helpful.
23;Unity Technologies;Pokemon Go;People died because they were trying to catch virtual pixels;Pokemon No!Once upon a time Pokemon Go was a very obnoxious fad that had everyone playing.I saw young to old at parks playing Pokemon Go. It was nuts and crazy.It was mind control. I'm serious. It was that bad. I felt bad for the people.Then on the news fools were killed in the process of capturing virtual animals. Haha!I don't think humans were ever intelligent. With the Exception of me.Pokemon Go was once huge. Thank God its dead but unfortunately tik tok and fortnite is now the new dumb-cool.Pokemon go was about catching virtual animals that were not real around in public. That's it.I'm a retired Pokemon trainer that conquered a fee RPG but even I thought Pokemon Go was hash.Like the original game the graphics were fine. Concept was unique. But when you mix unique concept with people it's not a good result.The people made Pokemon go look worse due to various incidents.Funny thing is Pokemon Go hype only lasted a year. After that people went on to other distractions.Last Words: Pokemon Go. Short lived hype for a company that may never die.I like Pokemon but it needs to go rated R for adults. The corniness after 20+ years is overwhelming. Pokemon Go didn't help Pokemon at all.;1/10;12 November 2021;3 out of 15 found this helpful.
24;Unity Technologies;Crash Bandicoot 4: It's About Time;Fantastic graphics. Unnecessarily complicated;Okay, i've been playing Crash since the first game was released on the PS1. I love them all. While this one is a very good game and the graphics are beautiful, it becomes unnecessarily very hard.;7/10;8 January 2021;15 out of 18 found this helpful.
25;Unity Technologies;Crash Bandicoot 4: It's About Time;Crash 4 It's About Time;The art is a sure standout with atmospheric landscapes that make areas so destinct you can almost smell them.Even the music plays in to the rythm of the levels at times and makes it near impossible not to jam along with it.The game introduces multiple new story elements and gameplay mechanics which the game explores fully and in unique and creative ways.The story is fun and over the top granting some characters more personality than you could ever ask for, while others might've benefit from being taken more seriously.Replayability is at an all time high as there's always something new for you to earn when going back into levels, though this can easily overwhealm someone striving to complete the game 106%.There's something here for you in both spectrums like casual laid back play, and the fast pace time-trial runthrough of the levels.Are you into speedruns? GREAT go for it!Do you not have time for that and just want to get through the story? GREAT no problem, both will serve good competition.While extremely hard in areas which can be either good or bad depending on the player there are items so easy to miss that you might not have a chance to get them without outside help.Even though the title and story overwrites the majority of later Crash titles it does it in a celebratory manner instead of erasing it from existence.Long story short, the game is fun, unique, beautiful and hard!;9/10;29 October 2021;3 out of 5 found this helpful.
26;Unity Technologies;Crash Bandicoot 4: It's About Time;Best Crash Game? Maybe?;I was so worried this wouldn't work, but they retooled to formula to create a more stream lined, difficult yet user friendly crash experience which may be the best game yet in his series....;9/10;13 November 2020;5 out of 11 found this helpful.
27;Unity Technologies;Crash Bandicoot 4: It's About Time;It's about damn time;Setting it as a continuation to the original 3 games, toys for bob did a really great job at capturing the feel and lighthearted tone of the originals while adding some new mechanics that brings a lot of new challenges to the game such as the edition of masks which they have different powers and most of them are really fun to use and it takes some time to master their abilities.Really nice game to play in these times at home though I gotta say it's absolutely the hardest game in the entire series by far but it's definitely better than wrath of cortex which was considered as crash 4 up to this point, now hopefully we can get a new spyro game as well in the near future.;10/10;3 October 2020;17 out of 23 found this helpful.
28;Unity Technologies;Crash Bandicoot 4: It's About Time;Amazing Game;Crash Bandicoot It's about time is a wonderful game , It's a modern and different Crash game . Crash Bandicoot is one of my favorite video games .;10/10;3 October 2020;11 out of 19 found this helpful.
29;Unity Technologies;Crash Bandicoot 4: It's About Time;Great game;As a fan of the franchise since I was a little kid, this game did not disappoint one bit. They managed to keeo the core of Crash Bandicoot, yet added som touches and abilites to make it really fun and modern.The levels are well designed with great music and cool features with a lot of different obstacles and hazards.I think anyone who played the games since the 90s is going to find this game very entertaining, and the platforming allows new players to have fun with Crash straight away.For anyone who is on the journey to platinum trophy, like me, we are up for the biggest challenge yet. Good luck! (We're gonna need it);10/10;10 October 2020;7 out of 14 found this helpful.
30;Unity Technologies;Crash Bandicoot 4: It's About Time;One heckuva time!;This game is a blast start to finish, so many levels to play, things to collect and bosses to master! Not to mention this is the first platformer in the Crash franchise that has this many playable characters, they all handle like a dream! I couldn't have asked for a better game!;10/10;5 October 2020;6 out of 14 found this helpful.
31;Unity Technologies;Crash Bandicoot 4: It's About Time;Was having a lot of fun...until;So some of you might remember how much I loved the N. Sane Trilogy, even though I'd never played a Crash game in my life before that point. And so I was looking forward to this game, and really, really enjoyed it...for a while.See, while the game is really well animated, has a lot of great level design, and Cortex is still a great laugh, there is a roughly equal amount of level design that really made me angry, I didn't find most of the humour all that funny, especially not when compared to the N. Sane Trilogy, and by god...the completion requirements.And before anyone gets snotty about me thinking that it's necessary to 100% the game when it technically isn't, well you're completely correct. However, the game taken at its normal pace and only playing it through to the end without collecting everything will only take you around four to five hours, but the ludicrous amount of stuff needed to 100% the game, unlike the original trilogy, is just thoroughly not worth it.Over 400 gems, including hidden ones, flashback tapes that can be serious pains to finish, and all in some of the hardest levels ever made in the entire series up until now, and when you add all that up, what it results in is the fact that unlike the N. Sane Trilogy, I would only ever recommend playing this through to finish it, not complete it.If you do that, it's just as fun, if not more so than the N. Sane Trilogy, but through all the repetition if you're aiming to complete it, the humour that occasionally falls flat, and the frustration overtaking the fun far too often, I can't say I'm anywhere near as likely to return to this one as I am the N. Sane Trilogy any time soon.Oh well, it was fun for a few hours...;6/10;9 December 2020;8 out of 12 found this helpful.
32;Unity Technologies;Crash Bandicoot 4: It's About Time;Yes!!;I don't play video games much at all! Love love LOVE this game! It's so fun and you can definitely tell they took their time with creating it. I have the PS4 and Switch version. I work from Home so I already beat the game on switch. Lol.;10/10;7 August 2021;3 out of 6 found this helpful.
