GAME ID;GAME NAME; COMPANY ID;DESCRIPTION;MINIMUM REQUIREMENTS;RECOMMENDED REQUIREMENTS
20;Fallout 4;4;"In the post-apocalyptic Boston, Massachusetts area, you play as the ""Sole Survivor"" of Vault 111, recently revived from centuries of forced cryostasis, determined to find your kidnapped son.";Intel Core i9-9900K, MSI B450 TOMAHAWK MAX, 64 GB DDR4, AMD Radeon RX 570;Intel Core i9-9900K, ASUS ROG STRIX B450-F GAMING, 8 GB DDR4, NVIDIA GTX 1660 Ti
21;The Elder Scrolls V: Skyrim;4;After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.;Intel Core i3-8100, ASUS TUF B450-PLUS GAMING, 8 GB DDR4, AMD Radeon RX 5700;Intel Core i7-9700K, MSI B450 GAMING PLUS MAX, 32 GB DDR4, NVIDIA RTX 2060
22;Doom Eternal;4;In this sequel to Doom (2016), Hell has taken Earth, so it's up to the Doom Slayer, the ultimate demon-killing machine created by a mystical force, to rip and tear the forces of Hell apart. However, Hell is not alone in this fight.;Intel Core i3-8100, Gigabyte B450 AORUS M, 32 GB DDR4, NVIDIA GTX 1050 Ti;Intel Core i5-9400F, Gigabyte B450 AORUS M, 64 GB DDR4, AMD Radeon RX 590
23;Wolfenstein II: The New Colossus;4;In 1961, BJ Blazkowicz and his ragtag team of allies arrive in Nazi-controlled America on a mission to recruit the boldest resistance leaders left and restart the American Revolution.;Intel Core i5-9400F, MSI B450 TOMAHAWK MAX, 32 GB DDR4, AMD Radeon RX 590;Intel Core i7-9700K, Gigabyte B450 AORUS M, 32 GB DDR4, NVIDIA RTX 2070 Super
24;Prey;4;Morgan Yu is trapped aboard a space station filled with shape-shifting aliens with no memory of how he got there. Guided by a mysterious stranger and his former self, he must set the station's self-destruct before the aliens reach Earth.;Intel Core i9-9900K, Gigabyte B450 AORUS M, 32 GB DDR4, NVIDIA GTX 1050 Ti;Intel Core i9-9900K, MSI B450 TOMAHAWK MAX, 16 GB DDR4, AMD Radeon RX 570
25;Final Fantasy XV;5;After leaving his home city of Insomnia, young prince Noctis embarks on a journey with his closest friends to reclaim his throne.;Intel Core i9-9900K, MSI B450 TOMAHAWK MAX, 64 GB DDR4, NVIDIA RTX 2060;Intel Core i9-9900K, ASUS TUF B450-PLUS GAMING, 8 GB DDR4, NVIDIA GTX 1050 Ti
26;Shadow of the Tomb Raider;5;As Lara Croft races to save the world from a Mayan apocalypse, she must become the Tomb Raider she is destined to be.;AMD Ryzen 7 3700X, Gigabyte B450 AORUS M, 16 GB DDR4, NVIDIA RTX 2070 Super;AMD Ryzen 9 3900X, Gigabyte B450 AORUS M, 8 GB DDR4, AMD Radeon RX 5700 XT
27;Just Cause 4;5;Rico Rodriguez fights against a paramilitary group called the Black Hand who have very sinister plans to test experimental weather weaponry.;Intel Core i9-9900K, ASUS ROG STRIX B450-F GAMING, 16 GB DDR4, NVIDIA RTX 2070 Super;AMD Ryzen 3 1200, MSI B450 GAMING PLUS MAX, 64 GB DDR4, AMD Radeon RX 5700 XT
28;Life is Strange 2;5;Two brothers try to flee the country after a recent tragedy changes their lives forever.;AMD Ryzen 7 3700X, Gigabyte B450 AORUS M, 16 GB DDR4, AMD Radeon RX 590;AMD Ryzen 5 3600, ASUS ROG STRIX B450-F GAMING, 8 GB DDR4, AMD Radeon RX 570
29;Deus Ex: Mankind Divided;5;Set two years after the Human Revolution in 2029, Adam Jensen is faced with the aftermath of the Aug Incident and the impact of his decision on how to resolve it.;Intel Core i7-9700K, MSI B450 TOMAHAWK MAX, 8 GB DDR4, NVIDIA RTX 2070 Super;AMD Ryzen 7 3700X, MSI B450 TOMAHAWK MAX, 8 GB DDR4, NVIDIA GTX 1660 Ti
30;Resident Evil 2;6;Re-imagining of Biohazard 2 (1998), with a third-person over-the-shoulder view, new details, rearranged and new areas, no more loading screen doors, new puzzle solving opportunities, a gunpowder crafting mechanic and more.;AMD Ryzen 9 3900X, ASUS TUF B450-PLUS GAMING, 8 GB DDR4, AMD Radeon RX 590;Intel Core i7-9700K, ASRock B450M-HDV R4.0, 64 GB DDR4, AMD Radeon RX 5700
31;Monster Hunter: World;6;Play as a hunter and take on quests to hunt monsters.;Intel Core i7-9700K, ASRock B450M-HDV R4.0, 16 GB DDR4, NVIDIA GTX 1660 Ti;Intel Core i9-9900K, ASRock B450M-HDV R4.0, 16 GB DDR4, NVIDIA GTX 1050 Ti
32;Devil May Cry 5;6;Years have passed since the legions of hell have set foot in this world, but now a new demonic invasion has begun, and humanity's last hope will rest in the hands of three lone demon hunters, each offering a radically different play style.;Intel Core i9-9900K, Gigabyte B450 AORUS M, 8 GB DDR4, NVIDIA RTX 2070 Super;Intel Core i7-9700K, ASUS TUF B450-PLUS GAMING, 64 GB DDR4, NVIDIA RTX 2060
33;Street Fighter V;6;Warriors from across the globe must join forces in order to stop Shadaloo from plunging the world into crisis.;AMD Ryzen 5 3600, Gigabyte B450 AORUS M, 16 GB DDR4, NVIDIA RTX 2060;Intel Core i5-9400F, MSI B450 TOMAHAWK MAX, 8 GB DDR4, NVIDIA RTX 2060
34;Mega Man 11;6;Dr. Wily uses a rejected invention of his to aid his taking over the world, so Mega Man offers to go up against his evil robot brethren with the same enhancements.;Intel Core i9-9900K, Gigabyte B450 AORUS M, 32 GB DDR4, NVIDIA GTX 1050 Ti;AMD Ryzen 9 3900X, ASUS TUF B450-PLUS GAMING, 32 GB DDR4, NVIDIA RTX 2070 Super
35;Borderlands 3;7;"In this FPS/RPG, Troy and Tyreen Calypso learn of other Vaults beyond the planet Pandora, and form a violent cult named the ""Children of the Vault"" to gain possession of them, while Lilith recruits the ""Vault Hunter"" to get to them first.";AMD Ryzen 5 3600, MSI B450 TOMAHAWK MAX, 16 GB DDR4, AMD Radeon RX 590;AMD Ryzen 5 3600, Gigabyte B450 AORUS M, 64 GB DDR4, NVIDIA RTX 2070 Super
36;XCOM 2;7;Twenty years have passed since world leaders offered an unconditional surrender to alien forces. But at the edges of the world a force gathers once again to stand up for humanity.;AMD Ryzen 9 3900X, ASRock B450M-HDV R4.0, 8 GB DDR4, AMD Radeon RX 5700;Intel Core i5-9400F, ASUS ROG STRIX B450-F GAMING, 16 GB DDR4, AMD Radeon RX 590
37;NBA 2K21;7;A new installment to the NBA video game series by 2K.;Intel Core i5-9400F, MSI B450 GAMING PLUS MAX, 64 GB DDR4, NVIDIA RTX 2060;AMD Ryzen 3 1200, ASRock B450M-HDV R4.0, 32 GB DDR4, AMD Radeon RX 5700
38;Civilization VI;7;Control a civilization, from the beginnings of life, all the way towards the modern age. All while avoiding barbarians, gathering resources and dealing with the other civilizations. Will your nation thrive?;Intel Core i9-9900K, Gigabyte B450 AORUS M, 32 GB DDR4, AMD Radeon RX 5700 XT;AMD Ryzen 9 3900X, ASUS ROG STRIX B450-F GAMING, 8 GB DDR4, AMD Radeon RX 5700
39;Mafia III;7;After the murder of his surrogate family at the hands of the Italian mafia, Vietnam War veteran Lincoln Clay seeks vengeance on those who took away the only thing that mattered to him.;Intel Core i7-9700K, ASUS ROG STRIX B450-F GAMING, 8 GB DDR4, NVIDIA GTX 1050 Ti;Intel Core i7-9700K, ASUS TUF B450-PLUS GAMING, 8 GB DDR4, AMD Radeon RX 570
40;The Witcher 3: Wild Hunt;8;The monster slayer Geralt of Rivia must find his adoptive daughter who is being pursued by the Wild Hunt, and prevent the White Frost from bringing about the end of the world.;Intel Core i9-9900K, ASUS TUF B450-PLUS GAMING, 16 GB DDR4, NVIDIA GTX 1050 Ti;Intel Core i9-9900K, Gigabyte B450 AORUS M, 32 GB DDR4, AMD Radeon RX 570
41;Cyberpunk 2077;8;In Night City, a mercenary known as V navigates a dystopian society in which the line between humanity and technology becomes blurred.;Intel Core i3-8100, Gigabyte B450 AORUS M, 8 GB DDR4, AMD Radeon RX 590;Intel Core i3-8100, Gigabyte B450 AORUS M, 32 GB DDR4, AMD Radeon RX 5700 XT
42;Gwent: The Witcher Card Game;8;"A card game based on the ""The Witcher"" universe.";Intel Core i5-9400F, Gigabyte B450 AORUS M, 64 GB DDR4, AMD Radeon RX 590;AMD Ryzen 7 3700X, Gigabyte B450 AORUS M, 8 GB DDR4, AMD Radeon RX 570
43;Thronebreaker: The Witcher Tales;8;A war-veteran queen faces an imminent invasion from a foreign empire.;AMD Ryzen 5 3600, Gigabyte B450 AORUS M, 16 GB DDR4, NVIDIA GTX 1050 Ti;Intel Core i3-8100, ASRock B450M-HDV R4.0, 8 GB DDR4, NVIDIA RTX 2060
44;The Witcher Adventure Game;8;A monster slayer follows the trail of Salamandra, a criminal organization that stole dangerous alchemy formulas from his guild.;AMD Ryzen 9 3900X, MSI B450 TOMAHAWK MAX, 8 GB DDR4, AMD Radeon RX 570;Intel Core i7-9700K, MSI B450 GAMING PLUS MAX, 32 GB DDR4, NVIDIA GTX 1660 Ti
45;Call of Duty: Warzone;9;A massive combat experience with up to 150 players from the world of Call of Duty: Modern Warfare, free-to-play for everyone.;Intel Core i7-9700K, MSI B450 TOMAHAWK MAX, 32 GB DDR4, AMD Radeon RX 590;AMD Ryzen 9 3900X, ASUS ROG STRIX B450-F GAMING, 64 GB DDR4, AMD Radeon RX 5700
46;Crash Bandicoot N. Sane Trilogy;9;Crash Bandicoot, an experiment gone wrong, must chase down and thwart the evil genius Dr. Cortex's plans to raise an evil army of genetically mutated animals in this remake of the critically-acclaimed original 3 PlayStation games.;Intel Core i9-9900K, ASRock B450M-HDV R4.0, 16 GB DDR4, AMD Radeon RX 5700;AMD Ryzen 5 3600, MSI B450 TOMAHAWK MAX, 16 GB DDR4, AMD Radeon RX 570
47;Sekiro: Shadows Die Twice;9;Set in a reimagining of 1500s Sengoku era Japan. An unnamed shinobi, tasked with protecting a young lord of mystical lineage, who is left for dead when a powerful samurai attacks and chops off his arm.;Intel Core i5-9400F, ASUS ROG STRIX B450-F GAMING, 8 GB DDR4, AMD Radeon RX 5700 XT;AMD Ryzen 3 1200, MSI B450 GAMING PLUS MAX, 64 GB DDR4, AMD Radeon RX 590
48;Tony Hawk's Pro Skater 1 + 2;9;A remaster of the first two games in the Tony Hawk's franchise. It's set to bring back original levels, pro skaters, tricks, modes, and songs from the iconic soundtrack;Intel Core i5-9400F, Gigabyte B450 AORUS M, 16 GB DDR4, NVIDIA RTX 2060;Intel Core i5-9400F, ASUS TUF B450-PLUS GAMING, 16 GB DDR4, AMD Radeon RX 590
49;Spyro Reignited Trilogy;9;Spyro's back and he's all scaled up. Same sick burns, same smoldering attitude, now all scaled up in stunning HD. Spyro is bringing the heat like never before in the Spyro Reignited Trilogy game collection.;Intel Core i7-9700K, Gigabyte B450 AORUS M, 64 GB DDR4, NVIDIA RTX 2060;Intel Core i7-9700K, Gigabyte B450 AORUS M, 8 GB DDR4, NVIDIA RTX 2070 Super
