GAME ID;GAME NAME;GAME COMPANY ID;MINIMUM REQUIREMENTS; RECOMMENDED REQUIREMENTS
15;Grand Theft Auto V;3;Requires a 64-bit processor and operating systemOS: Windows 10 64 BitProcessor: Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) / AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHzMemory: 4 GB RAMGraphics: NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10, 10.1, 11)Storage: 120 GB available spaceSound Card: 100% DirectX 10 compatibleAdditional Notes: Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and www.rockstargames.com/support for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network. internet connection required for activation, online play, and periodic entitlement verification. software installations required including Rockstar Games Social Club platform, DirectX , Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication software that recognizes certain hardware attributes for entitlement, digital rights management, system, and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED. REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE. ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME. SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED. SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software.;Requires a 64-bit processor and operating systemOS: Windows 10 64 BitProcessor: Intel Core i5 3470 @ 3.2GHz (4 CPUs) / AMD X8 FX-8350 @ 4GHz (8 CPUs)Memory: 8 GB RAMGraphics: NVIDIA GTX 660 2GB / AMD HD 7870 2GBStorage: 120 GB available spaceSound Card: 100% DirectX 10 compatible
16;Red Dead Redemption 2;3;Requires a 64-bit processor and operating systemOS: Windows 10 - April 2018 Update (v1803)Processor: Intel® Core™ i7-4770K / AMD Ryzen 5 1500XMemory: 12 GB RAMGraphics: Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GBNetwork: Broadband Internet connectionStorage: 150 GB available spaceSound Card: Direct X Compatible;Requires a 64-bit processor and operating systemOS: Windows 10 - April 2018 Update (v1803)Processor: Intel® Core™ i7-4770K / AMD Ryzen 5 1500XMemory: 12 GB RAMGraphics: Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GBNetwork: Broadband Internet connectionStorage: 150 GB available spaceSound Card: Direct X Compatible
17;Bully: Scholarship Edition;3;OS *: Windows XP / Windows Vista                     Processor: Intel Pentium 4 (3+ GHZ) / AMD Athlon 3000+                     Memory: 1 GB RAM                     Graphics: DirectX 9.0c Shader 3.0 supported, Nvidia 6800 or 7300 or better, ATI Radeon X1300 or better                     DirectX Version: DirectX 9.0c                     Hard Drive: 4.7 GB free space                     Sound Card: DX9-compatible                     Input: Keyboard, Mouse, Xbox 360 Controller supported;NOT INFORMED
18;Max Payne 3;3;OS: Windows 10 64 BitProcessor: Intel Dual Core 2.4 GHZ - i7 3930K 6 Core x 3.06 GHZ / AMD Dual Core 2.6 GHZ - FX-8150 8 Core x 3.6 GHZMemory: 2GB - 16GB RAMHard Drive: 35GB of free HDD SpaceGraphics: NVIDIA® 8600 GT 512MB VRAM – NVIDIA® GeForce® GTX 680 2GB VRAM / Radeon HD 3400 512MB VRAM - Radeon HD 7970 3GB VRAMSound Card: 100% Direct X 9.0 compatible – Direct X 9.0 compatible supporting Dolby Digital LiveInitial activation requires internet connection and Rockstar Social Club (13+ to register). software installation required including Sony DADC SecuROM. DirectX, and Microsoft’s Windows .NET Framework, and Microsoft Visual C++ 2008 SP1 Redistributable Package (x86).Partner RequirementsPlease refer to your hardware manufacturer and www.rockstargames.com/support for current compatibility information. Some system components such as integrated graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.Please check the terms of service of this site before purchasing this software.Over time downloadable content and programming changes will change the system requirements for this game. Please refer to your hardware manufacturer and www.rockstargames.com/support for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.;NOT INFORMED
19;L.A. Noire;3;OS: Windows 10 64-BitProcessor: Intel CPUs - Dual Core 2.2 GHz to Quad Core 3.2GHz. AMD CPUS - Dual Core 2.4Ghz to Quad Core 3.2GhzMemory: 2GB to 8GBHard Drive: 16GB AvailableGraphics: NVIDIA GeForce 8600 GT 512MB to NVIDIA GeForce GTX 580 1536MB or Radeon HD3000 512MB to Radeon HD 6850 1024MBSound Card: 100% DirectX 9 compatibleInitial activation requires internet connection and Rockstar Social Club (13+ to register). software installation required including Sony DADC SecuROM. DirectX, and Microsoft’s Windows .NET Framework, and Microsoft Visual C++ 2008 SP1 Redistributable Package (x86).Partner RequirementsPlease refer to your hardware manufacturer and www.rockstargames.com/support for current compatibility information. Some system components such as integrated graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.Please check the terms of service of this site before purchasing this software.Over time downloadable content and programming changes will change the system requirements for this game. Please refer to your hardware manufacturer and www.rockstargames.com/support for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.;NOT INFORMED
20;Fallout 4;4;Requires a 64-bit processor and operating systemOS *: Windows 7/8/10 (64-bit OS required)Processor: Intel Core i5-2300 2.8 GHz/AMD Phenom II X4 945 3.0 GHz or equivalentMemory: 8 GB RAMGraphics: NVIDIA GTX 550 Ti 2GB/AMD Radeon HD 7870 2GB or equivalentStorage: 30 GB available space;Requires a 64-bit processor and operating systemOS *: Windows 7/8/10 (64-bit OS required)Processor: Intel Core i7 4790 3.6 GHz/AMD FX-9590 4.7 GHz or equivalentMemory: 8 GB RAMGraphics: NVIDIA GTX 780 3GB/AMD Radeon R9 290X 4GB or equivalentStorage: 30 GB available space
21;The Elder Scrolls V: Skyrim;4;OS *: Windows 7/8.1/10 (64-bit Version)Processor: Intel i5-750/AMD Phenom II X4-945Memory: 8 GB RAMGraphics: NVIDIA GTX 470 1GB /AMD HD 7870 2GBStorage: 12 GB available space;OS *: Windows 7/8.1/10 (64-bit Version)Processor: Intel i5-2400/AMD FX-8320Memory: 8 GB RAMGraphics: NVIDIA GTX 780 3GB /AMD R9 290 4GBStorage: 12 GB available space
22;Doom Eternal;4;Requires a 64-bit processor and operating systemOS *: 64-bit Windows 7 / 64-Bit Windows 10Processor: Intel Core i5 @ 3.3 GHz or better, or AMD Ryzen 3 @ 3.1 GHz or betterMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 1050Ti (4GB), GTX 1060 (3GB), GTX 1650 (4GB) or AMD Radeon R9 280(3GB), AMD Radeon R9 290 (4GB), RX 470 (4GB)Network: Broadband Internet connectionStorage: 80 GB available spaceAdditional Notes: ( 1080p / 60 FPS / Low Quality Settings );Requires a 64-bit processor and operating systemOS: 64-bit Windows 10Processor: Intel Core i7-6700K or better, or AMD Ryzen 7 1800X or betterMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 1060 (6GB), NVIDIA GeForce 970 (4GB), AMD RX 480 (8GB)Network: Broadband Internet connectionStorage: 80 GB available spaceAdditional Notes: ( 1080p / 60 FPS / High Quality Settings ) - *On NVIDIA GTX 970 cards Texture Quality should be set to Medium
23;Wolfenstein II: The New Colossus;4;Requires a 64-bit processor and operating systemOS *: Win7, 8.1, or 10 (64-Bit versions)Processor: AMD FX-8350/Ryzen 5 1400 or Intel Core i5-3570/i7-3770Memory: 8 GB RAMGraphics: Nvidia GTX 770 4GB/AMD Radeon R9 290 4GB or betterStorage: 55 GB available space;Requires a 64-bit processor and operating systemOS *: Win7, 8.1, or 10 64-BitProcessor: AMD FX-9370/Ryzen 5 1600X or Intel Core i7-4770Memory: 16 GB RAMGraphics: Nvidia GTX 1060 6GB/AMD Radeon RX 470 4GB or betterStorage: 55 GB available space
24;Prey;4;Requires a 64-bit processor and operating systemOS *: Windows 7/8/10 (64-bit versions)Processor: Intel i5-2400, AMD FX-8320Memory: 8 GB RAMGraphics: GTX 660 2GB, AMD Radeon 7850 2GBStorage: 20 GB available space;Requires a 64-bit processor and operating systemOS *: Windows 7/8/10 (64-bit versions)Processor: Intel i7-2600K, AMD FX-8350Memory: 16 GB RAMGraphics: GTX 970 4GB, AMD R9 290 4GBStorage: 20 GB available space
25;Final Fantasy XV;5;Requires a 64-bit processor and operating systemOS *: Windows® 7 SP1/ Windows® 8.1 / Windows® 10 64-bitProcessor: Intel® Core™ i5-2500（3.3GHz and above）/ AMD FX™-6100 （3.3GHz and above）Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 760 / NVIDIA® GeForce® GTX 1050 / AMD Radeon™ R9 280DirectX: Version 11Storage: 100 GB available spaceSound Card: DirectSound® compatible sound card, Windows Sonic and Dolby Atmos supportAdditional Notes: 720p 30fps;Requires a 64-bit processor and operating systemOS *: Windows® 7 SP1/ Windows® 8.1 / Windows® 10 64-bitProcessor: Intel® Core™ i7-3770（3.4GHz and above）/ AMD FX™-8350（4.0 GHz and above）Memory: 16 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 6 GB VRAM / Radeon™ RX 480DirectX: Version 11Storage: 100 GB available spaceSound Card: DirectSound® compatible sound card, Windows Sonic and Dolby Atmos supportAdditional Notes: 1080p 30fps
26;Shadow of the Tomb Raider;5;OS *: Windows 7 64 bitProcessor: i3-3220 INTEL or AMD EquivalentMemory: 8 GB RAMGraphics: Nvidia GTX 660/GTX 1050 or AMD Radeon HD 7770DirectX: Version 11Storage: 40 GB available space;OS: Windows 10 64-bitProcessor: Intel Core i7 4770K, 3.40 Ghz or AMD Ryzen 5 1600, 3.20 GhzMemory: 16 GB RAMGraphics: Nvidia GTX 1060 6GB or AMD Radeon RX 480, 8GBDirectX: Version 12Storage: 40 GB available space
27;Just Cause 4;5;OS *: Windows 7 SP1 with Platform Update for Windows 7 (64-bit versions only)Processor: Intel Core i5-2400 @ 3.1 GHz | AMD FX-6300 @ 3.5 GHz or betterMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 760 (2GB VRAM or better) | AMD R9 270 (2GB VRAM or better)DirectX: Version 11Storage: 59 GB available space;OS: Windows 10 (64-bit versions only)Processor: Intel Core i7-4770 @ 3.4 GHz | AMD Ryzen 5 1600 @ 3.2 GHz or equivalentMemory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1070 (6GB VRAM or better) | AMD Vega 56 (6GB VRAM or better)DirectX: Version 11Storage: 59 GB available space
28;Life is Strange 2;5;OS *: Windows 7 or above (64-bit Operating System Required)Processor: Intel Core i3-2100 (3.1GHz) or AMD Phenom X4 945 (3.0GHz)Memory: 4 GB RAMGraphics: Nvidia GeForce GTX 650 2GB or AMD Radeon HD 7770 2GBDirectX: Version 11Storage: 40 GB available spaceAdditional Notes: Please note that 32-bit operating systems will not be supported;OS: Windows 10 64-bitProcessor: Intel Core i5 3470, (3.20 Ghz) or AMD FX-8350, (4.00 Ghz)Memory: 6 GB RAMGraphics: Nvidia GeForce GTX 970 4GB or AMD Radeon R9 280X 3GBDirectX: Version 11Storage: 40 GB available spaceAdditional Notes: Please note that 32-bit operating systems will not be supported
29;Deus Ex: Mankind Divided;5;OS *: Windows 7.1SP1 or above (64-bit Operating System Required)Processor: Intel Core i3-2100 or AMD equivalentMemory: 8 GB RAMGraphics: AMD Radeon HD 7870 (2GB) or NVIDIA GeForce GTX 660 (2GB)Storage: 45 GB available space;OS: Windows 10 64-bitProcessor: Intel Core i7-3770K or AMD FX 8350 WraithMemory: 16 GB RAMGraphics: AMD Radeon RX 480 - 1920 x 1080 or NVIDIA GTX 970 - 1920 x 1080Storage: 55 GB available spaceAdditional Notes: 55GB HD space includes DLC
30;Resident Evil 2;6;Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-4460 or AMD FX™-6300 or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 460DirectX: Version 12Storage: 26 GB available spaceAdditional Notes: This game is expected to run at 1080p/30 FPS. If you have don't have enough graphics memory to run the game at your selected texture quality, you must go to Options > Graphics and lower the texture quality or shadow quality, or decrease the resolution. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.);Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i7-3770 or AMD FX™-9590 or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480  with 3GB VRAMDirectX: Version 12Storage: 26 GB available spaceAdditional Notes: This game is expected to run at 1080p/60 FPS. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.)
31;Monster Hunter: World;6;Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-bit required)Processor: Intel® Core™ i5 4460 or Core™ i3 9100F or AMD FX™-6300 or Ryzen™ 3 3200GMemory: 8 GB RAMGraphics: NVIDIA®GeForce®GTX 760 or GTX1050 or AMD Radeon™ R7 260x or RX 560DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p/30fps with graphics settings at "Low". - 64-bit processor and operating system are required.;Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-bit required)Processor: Intel® Core™ i7 3770 or Core™ i3 8350 or Core™ i3 9350F / AMD Ryzen™ 5 1500X or Ryzen™ 5 3400GMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or GTX 1650 / AMD Radeon™ RX 480 or RX 570DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p/30fps with graphics settings at "High". - 64-bit processor and operating system are required. - Windows 10 (Version 1809 or later) and a 4GB VRAM GPU (graphics board or video card) are required for DirectX 12 API.
32;Devil May Cry 5;6;OS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-4460, AMD FX™-6300, or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 760 or AMD Radeon™ R7 260x with 2GB Video RAM, or betterDirectX: Version 11Storage: 35 GB available spaceAdditional Notes: *Xinput support Controllers recommended *Internet connection required for game activation. (Network connectivity uses Steam® developed by Valve® Corporation.);OS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i7-3770, AMD FX™-9590, or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 with 6GB VRAM, AMD Radeon™ RX 480 with 8GB VRAM, or betterDirectX: Version 11Storage: 35 GB available spaceAdditional Notes: *Xinput support Controllers recommended *Internet connection required for game activation. (Network connectivity uses Steam® developed by Valve® Corporation.)
33;Street Fighter V;6;OS *: Windows 7 64-bitProcessor: Intel Core i3-4160 @ 3.60GHzMemory: 6 GB RAMGraphics: NVIDIA® GeForce® GTX 480, GTX 570, GTX 670, or betterDirectX: Version 11Network: Broadband Internet connectionSound Card: DirectX compatible soundcard or onboard chipsetAdditional Notes: Compatible with XInput and DirectInput USB devices including gamepads and arcade sticks based on Xbox 360, Xbox One, and DualShock controllers. Steam Controller also supported.;OS *: WINDOWS® 7, 8, 8.1, 10 (64-BIT Required)Processor: Intel Core i5-4690K @3.50GHz or AMD FX-9370Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 960 or AMD Radeon R7 370DirectX: Version 11Network: Broadband Internet connectionSound Card: DirectX compatible soundcard or onboard chipsetAdditional Notes: Compatible with XInput and DirectInput USB devices including gamepads and arcade sticks based on Xbox 360, Xbox One, and DualShock controllers. Steam Controller also supported.
