EMPRESA;JOGO;TITULO DO COMENTÁRIO;COMENTÁRIO;NOTA;DATA;OPINIÃO DAS PESSOAS SOBRE O COMENTÁRIO
Nintendo;The Legend of Zelda: Breath of the Wild;My favorite game ever!;This game is everything I wanted with an video game. The exploration, the lore and gameplay is just well done. It hade been a long time since I first played it and I recently picked it up again and is still just as amazed as the first time.;Not Informed;11 August 2022;3 out of 3 found this helpful.
Nintendo;The Legend of Zelda: Breath of the Wild;I don't know how I feel about this game;While most of the Zelda games have had quite a bit of world-building and exploration, they took this to a whole new level here. The world and exploration is more vast. I hope Nintendo continues with the open-world idea. I was eager to explore more of the world with this game. The world is immersive and you can cook your own food, run into people, encounter shrines, build your own house and town, and other challenges...there is a lot of things you can do in this game.I guess I'm in the minority here, I don't understand why people dislike the Divine Beasts dungeons, I thought it was a neat concept to have you control the divine beasts while also figuring out the puzzles in the dungeon. But I think it's because I'm a sucker for puzzles. Too bad you can't go near them after you defeated the bosses. I mean, what if there's a chest in there that you may have forgot? I love most of the champions and how they give you powers after you complete each Divine Beasts.Gameplay aside, the story was so-so and again too dramatic. The story was nearly non-existent, there is like no established story except for you have to defeat the Divine Beasts, find all the memories, and defeat Calamity Ganon. I didn't like the idea of Link waking up from a hundred-year sleep with amnesia and some of the characters such as Zelda, Impa, and Revali were annoying characters to me. Zelda is an overemotional brat who pressures herself, takes her stress out on Link and cries too much. Some people do complain about how stoic Link is in this game and it makes me wonder why Nintendo downgraded Link's expressions in this game after the last few 3D Zelda games had a more expressive Link in my opinion.Some things didn't make sense such as the Master Sword killing you. The ending didn't make sense and it didn't seem to wrap everything up. It just ends with Zelda and Link looking up at the sky and how did Zelda survive a hundred years and hold in Ganon for this long? Wouldn't that be tiring for her?I don't know if I should recommend this game or not, it's okay but the story seems pretty short and non-established. I do feel it's overrated. Also, Zelda and her relationship with Link was off-putting. I don't ship Zelink and not in a million years do I want them together.;6/10;13 March 2018;11 out of 35 found this helpful.
Nintendo;The Legend of Zelda: Breath of the Wild;Overated;This is the worst gaming experience i've had since Fortnite. The storyline is weak af and world is empty. The only thing that was good about the game was finishing it because it was that bad. Nintendo needs to make good games like Agar.io or they will be cancelled.;3/10;20 January 2020;7 out of 65 found this helpful.
Nintendo;The Legend of Zelda: Breath of the Wild;Link is amzing;Wow this is just an amazing game i love it so much i do not remember seeing an amazing game like the legend of zelda Just a creative game at an open world level at the highest level I could really imagine gameplay I did not know and I really like to know I have been a fan for years and I just have not been such a really good game in terms of industry and good in my opinion 10 out of 10 is without a doubt really among my favorite games I've finished it three times already and it took me a full time to finish it but overall I enjoyed every moment and I think every good Zelda player dealing with Nintendo must play this game.;10/10;1 February 2022;4 out of 4 found this helpful.
Nintendo;The Legend of Zelda: Breath of the Wild;The best game ever made. Period;I have played a lot of games in my life but none of them left an impact on me the way BOTW did. I was never Zelda lover before so i decide to by this game randomly because of a the positive reviews it got. From the moment i started playing the game i was overwhelmed because this game doesnt hold your hand ...it sets you free to discover the kingdom as you please. You can spend hours just roaming without even accomplishing a single thing and it will feel like a few min have past becasue there is so much to discover. My 3 kids got addicted to this game by just watching me play. What a wonderful experience and im so grateful i randomly decided to buy this game. At 36 years old i fell in love with Zelda and i cannot wait for BOTW 2.;10/10;5 September 2019;10 out of 13 found this helpful.
Nintendo;The Legend of Zelda: Breath of the Wild;Impressive to a First Timer;Though I didn't really grow up playing Zelda on the NES or SNES I've come to fall in love with the series over the last couple of years, from the music to seeing some of the games, I thought what a better time to finally make the plunge and play the game than with the hotly anticipated BOTW for Nintendo Switch and Wii U. I chose the Wii U version.Of course the story is pretty simple, Gannon is evil, now stop him and how you do that is largely up to you. The routes you take, the quests you do, the story you watch take shape through your actions or lack of actions. I've never been a big puzzle game person and BOTW will offer some puzzles ranging from tutorial to head scratching that requires some deep thought on the best way to solve. Many of these puzzles do have multiple ways to solve it.The vast open world wastes no time getting down to business with nothing more than a pair of shorts you are thrusted and expected to figure things out. Thankfully the game is very intuitive it's not hard to pick up on what needs doing and how to do it, quickly, especially in combat. As the game progresses you continue to explore the large and vast world of Hyrule and figure more challenges and obstacles, much through trial and error.Traveling is time consuming, you will spend a great deal of time moving from place to place. There is always something to see and do, finding a shrine to solve a puzzle or uncovering more of the map by climbing large towers. Doing the shrines is optional but will benefit you in the long run by allowing you to increase health and stamina to better handle the obstacles.Combat while intuitive is more often a hassle than a reward. Weapons are puzzling fragile and break after so many uses. While weapons and shields plentiful, you're still limited by what you can carry, unless you want to embark on quests to expand your inventory by finding tiny little needles in the large haystack of the world. Breaking weapons is all to common as even with the best weapons you're still only doing chip damage on tough enemies and bosses.Cheap one-shot-kills also seem oddly common, even when equipped with armor getting a single arrow in your side or a lucky swipe from an enemy you'll be dead before you hit the ground. The game can still be forgiving in this sense, when you are knocked on your knees you'll have a decent moment to get back up to defend yourself before more damage can be done. Save scumming can help prevent excessive setbacks and the auto-save system works as well as it needs.I can't speak for the Switch but the Wii U version suffers lag and even momentary lockups at times. I know this game has been in development for a long time and I know game consoles like the Switch aren't made overnight so no doubt R&D and development had to have been working on since the early days of the game's production but the fact the issues are happening when the Wii U has been on the market for several years, this is a first-party-in-house development by Nintendo just screams amateur hour.BOTW is a visually impressive and fun game with a few minor irritants. The frustration though does lead to more and more desire to continue and push on instead of surrendering and that is the mark of a great game.;9/10;14 March 2017;14 out of 20 found this helpful.
Nintendo;The Legend of Zelda: Breath of the Wild;My favorite of the 3D Zelda games, perhaps my fave period;I enjoyed the 3D games such as Ocarina of Time, Majora's Mask, Twilight Princess. however, I also found them to contain flaws. Ocarina of Time and Twilight Princess I found the dungeons over huge, Majora's Mask I felt was too repetitive and then Windwaker I found to have a very bland over world as it just took forever to sail to places. Skyward Sword I could not even get through because there was a really good game in there, but it was plagued by the WII's shoddy controls. This one though was just great, not perfect, but closer than any of the other 3D perspective games I have played. My other super favorite Zelda game is the one for the Super Nintendo, Link to the Past. This Zelda game is more about exploring and I enjoy doing that a lot. There are dungeons, but they are navigated easily and it doesn't take all that long to get through them and I did not need a guide to navigate them! A real treat and a great entry to the series.The story has Link awakening from a slumber with no memories. He gets a device called a Shieka Slate that helps him navigate the world and he sets out on his quest to stop Ganon who is at it once again! Link must find shrines to increase his power, he must free the guardians to gain powers and help aid in his quest to defeat Ganon and he must help the lands become free of terror that is Ganon!The game play is mainly exploring as you get to got where you want after you get through the first plateau and get the glider. Granted, it becomes easier getting places the more stamina you build up as this Link has amazing climbing abilities! It is fun just searching for towns, stables to spend the night and checking the map and seeing if anything looks interesting to explore. You can find this little guys called Koraks that give you seeds that help expand your inventory and you can find shrines to help you can heart containers and more stamina plus there are fairy fountains to help increase the strength of your inventory. Weapons break in this one and at times that was a bit annoying, but not as bad once you get the master sword. I also wish Nintendo had a trophy system because it would have added more motivation to complete quests, as you do not get all that much for completing most quests, usually just rupees which are kind of plentiful in this one.So, definitely my favorite of the 3D perspective Zelda games and perhaps my fave period. I loved the exploring aspect of the game, though I did not really take advantage of the horse riding in this one. I was afraid I would miss too much riding the horses. It is fun finding new places in this one, as I said I would open the map and try to figure out an interesting place to go during my quest. Where a shrine might be hidden or a Korak may be hiding. I liked freeing the guardians and gaining powers that would help me survive longer or explore more fully too. Just an incredible game, I like this format and hope they do a variation of it for another Zelda, but perhaps add a few more typical dungeons to change it up.;10/10;12 March 2019;10 out of 14 found this helpful.
Nintendo;The Legend of Zelda: Breath of the Wild;Obvious;I mean this game is a masterpiece, anyone who says otherwise has probably not even completed the great platue.Got a friend who tried the game once, then I asked how he liked it, and then he said it was boring. I asked him how far he was into the game, he said he didn't know. I asked him if he had gotten the paraglider and he didn't know what it was. And then I said he hadn't even completed the tutorial. Lmao.Then I got another friend that I let borrow my game to try it. A week passes and I ask, how did you like it? He responded I played for 10 minutes and then didn't want to play more because he said he didn't like the graphics. Bro what?;10/10;5 May 2023;3 out of 3 found this helpful.
Nintendo;The Legend of Zelda: Breath of the Wild;The best game of all time!;There is no game in the universe that is better than Breath of the Wild no game has gotten even close to being as good as Breath of the Wild and this game is the best game of all time!;10/10;10 June 2019;8 out of 11 found this helpful.
Nintendo;The Legend of Zelda: Breath of the Wild;Best game ever made;The amount of stuff to do in this game is unreal. This is the greatest game of all time. Get it NOW!!!!!!!;Not Informed;10 December 2020;4 out of 6 found this helpful.
Nintendo;Super Mario Odyssey;So much fun!;This game is a must play it is so fun so memorabele;10/10;22 April 2020;5 out of 5 found this helpful.
Nintendo;Super Mario Odyssey;My favorite game in the Mario series! It's definitely Mario's greatest adventure!;I've played this game for the first time in 2017. It's like nothing that I've seen in the previous 3D Mario games like Super Mario 64, Sunshine and the Galaxy series. Mario and Cappy are great as a new duo but Mario and Luigi are still my favorite duo. I loved all the outfits in the game and they keep adding new ones.Who knows? One day there might be an announcement to a sequel of Super Mario Odyssey. Maybe. But this one is still my favorite.;10/10;7 October 2019;6 out of 7 found this helpful.
Nintendo;Super Mario Odyssey;A really good game;Super Mario odyssey takes you on an adventure like no other. With the help of your partner cappy MARIO must go on adventure across the kingdoms to save peach and to help restore peace to the kingdoms.;10/10;27 May 2019;6 out of 7 found this helpful.
Nintendo;Super Mario Odyssey;The Biggest Mario Ever!;This is the biggest Mario game I've ever played. It's a blender combination of Super Mario 64, Super Mario Sunshine and Super Mario Galaxy 1 and 2. It has fantastic environments with graphics I'd never expect in a cartridge that's smaller than a DS cartridge.;9/10;1 March 2018;9 out of 12 found this helpful.
Nintendo;Super Mario Odyssey;Another Great Mario Game;Super Mario Odyssey is a great game and a good game for the Nintendo Switch. This was the first game I've ever gotten on the Nintendo Switch. It's so amazing to see how far Mario has come on his journeys. A excellent game for the Nintendo Switch.;10/10;17 July 2019;5 out of 6 found this helpful.
Nintendo;Super Mario Odyssey;I really love it besides one thing;Super Mario Odyssey has some of the best video game graphics I've ever seen, when I first got it I couldn't stop playing it.My only complaint is it's way too hard at the end, but I won't stop trying.;9/10;11 December 2021;4 out of 5 found this helpful.
Nintendo;Super Mario Odyssey;This game took control over me;This was a really good game, I really liked the graphics, the gameplay was fun and the whole idea of the player being able to take over creatures in the Mario series was a really good one. Although I really liked the idea of being able to take over creatures in the Mario series in my opinion there was to little times I actually felt as if I needed to relay on this game function, I also think that the story was a bit bland and I know this is a Mario game and it's supposed to be easy but I like a challenge in a game and in my opinion this is way to easy. So to sum it all upp Mario odyssey is a good game with a few flaws (in my opinion) :);7/10;2 July 2019;4 out of 10 found this helpful.
Nintendo;Super Mario Odyssey;It has good graphics and that's about it;After 3 straight console failures from game cube, Wii and Wii U. When Nintendo Switch and the new gaming era rolled in, Super Mario Odyssey was one of the most hyped games. Yes they were excited for the 200th Mario game.Yes. Another Mario game that consist of the same hash that he has been doing for the last 30 years. More jumping on mushrooms. Getting level ups, beating Bowser and saving the Caucasian princess.This time though, Mario has a hat and the hat is alive.Mario Oydessy is nothing special. If you played one Mario game then you played them all. When you have little brainwashed cousins, then you have to take advantage to play the game for free and thank a god for freebies because this game is not worth more than 10 dollars to say the least.There really isn't anything good about this game. Sure I mentioned graphics but even mobile games with hash graphics are great games but this game is not a good game due to its history of having to do the same exact hash for over 30 years.Last Words: Fanboys will like anything Nintedno makes. Even if they copy and paste the same game from Switch lite and place it on the Oled Switch Ninntendo fanboys will literally pretend to act like the game is a brand new game. Haha!;3/10;2 August 2021;1 out of 31 found this helpful.
Nintendo;Super Mario Odyssey;Best Mario game of all time;This has got to be my favorite Mario game of all time.Mario odyssey by far has the best gameplay of any Mario game. There are so many options for moving around, jumping, attacking, and more. Cappy makes the game even better, as not only does he allow you to capture certain enemies, replacing power ups in this game, but he also makes your gameplay even more skilled, due to being able to jump on your cap. With this gameplay options, at some points you might just find yourself messing around with the controls, jumping and swinging from area to area like I do.The game runs at a smooth 60 FPS, and the visuals are stunning. The landscapes in this game are incredibly detailed and interesting.The soundtrack is fantastic, with awesome songs with a variety of different arrangements that combine to create songs that you're sure to come back to.The story is pretty basic, but that's not a necessarily a bad thing due to being just a Mario game. There isn't anything wrong with the story either, it's just a lighthearted and fun story that ends with a pretty great ending.What's great about this game is that it encourages the player to play how they want to play. You might go through some of the intended route on your first playthrough, but in future playthroughs you'll find yourself going through most of the game your way, which is really fun. Not to mention how replayable this game is. You will find countless of things to do both during and after you complete the main story, including many interesting side quests and several fun minigames.Overall, this is an absolute masterpiece from start to finish. If you're planning on getting Switch or already have one, this is the game to get.;10/10;31 January 2023;2 out of 2 found this helpful.
Nintendo;Super Mario Odyssey;Jump Up Superstar;Super Mario Odyssey is one of the best Mario games I played and a really good debut as a Nintendo Switch exclusive. It has been a really big addition as a video game icon featuring a greatly told story. It's about Mario saving Peach because she's about to be forced to get married by Bowser with a help with a Bonneter who transforms Mario into whatever the hat lands on. The gameplay makes the game fun to play. The characters, even the bosses, are very well developed. And the biggest highlight, amazingly crafted graphics. The game has featured beautiful background in some kingdoms and includes great looking textures. This is definitely worth playing for Nintendo fans and have played other 3D Mario games these years. This is an example of how Nintendo games can come out so great.;9/10;1 March 2021;2 out of 2 found this helpful.
Nintendo;Super Mario Odyssey;Best 3D Mario since Galaxy 2;I must say, Nintendo really surprised with Super Mario Odyssey. I just love how unique and how much of a departure the game play is from its predecessors. For the first time ever in a 3D Mario game players can explore vast and complex 3D worlds. A truly open world experience backed up by the amazing Cappy mechanic Mario can posses various npc's, enemies, and even inanimate objects by throwing his hat. I believe the Cappy mechanic and vast open world to explore provides much needed depth to the Super Mario series.;9/10;2 March 2020;2 out of 2 found this helpful.
Nintendo;Super Mario Odyssey;Absolute masterpiece;This game is my favorite game of all times! it's well thought and fun in a unimaginable way. I highly recommend it for everyone. The;10/10;25 April 2019;4 out of 6 found this helpful.
Nintendo;Super Mario Odyssey;Ok;Mario odyssey is ok for a Mario game. It is in no way even close to as good as either of the Galaxy games, but it is pretty fun.;8/10;5 April 2020;2 out of 5 found this helpful.
Nintendo;Super Mario Odyssey;Seriously? Come on Nintendo! We all know this is a ripoff of Bubsy 3D!;Now that everybody either had a good laugh or disliked this, Oddysey is the (almost) perfect game everybody praises it to be.My only problem is that the post game has very little to offer, making moon collecting feel like a chore, though that could just be me.;8/10;15 July 2019;2 out of 11 found this helpful.
Nintendo;Super Mario Odyssey;What a game;As said by critic Armond White, Mario is a director who achieves the impossible while botching the basics. No more is that true than with Super Mario Odyssey. While it is much better than the previous film The Phantom Menace, it still is very flawed.The acting is often criticized as well as the dialogue, however the real problem is the combination of the two. The style of dialogue that Mario wrote requires a certain kind of actor, and he miscast many of the roles. As proof you can see that while the dialogue sounds unnatural and emotionless from Natalie Portman, one of the most accomplished actresses in cinema, it works perfectly from Christopher Lee. The casting is the problem, not the dialogue or the acting.The visuals are also a weak point with mediocre cinematography that's a massive step down from the original trilogy, and distractingly bad CGI.However the film gets a lot right.The music is incredible as always, and it really is what sells the whole film, even with its flaws.The worlds of Mario are engaging and interesting and full of atmosphere as always.But of course the most important part of movies is the story. The immediate story of the film, the storylines that begin at the beginning and end at the end of this film, are fairly mediocre. Somewhat entertaining but fundamental structure flaws prevent it from being something great. It's the overarching story of the 6 films that is what works in this film. The story of the 6 Mario films is one of the greatest stories ever put to the screen, and this film is a crucial part in that.There is no other word for the film than a mixed bag. At its worst, it can be incredibly boring and frustrating to watch. Throughout most of the film it's just mediocre. But at it's best, it's very good. Overall it's pretty good and definitely worth a watch.;10/10;31 March 2022;1 out of 4 found this helpful.
